1 	а 	0,10983
2 	о 	0,08483
3 	и	0,07998
4 	е 	0,07367
5 	т 	0,067
6 	в 	0,06318
7 	н	0,05473
8 	р 	0,04746
9 	л 	0,04533
10 	с 	0,04343
11 	м 	0,03486
12 	к 	0,03203
13 	п 	0,02977
14 	ы 	0,02804
15 	з 	0,02615
16 	ф 	0,02001
17 	д 	0,01898
18 	я 	0,01735
19 	ш 	0,01687
20 	б 	0,01641
21 	ь 	0,01592
22 	у	0,0145
23 	г 	0,01208
24 	ч 	0,00966
25 	ж 	0,0094
26 	й	0,00718
27 	х 	0,00639
28 	ц 	0,00486
29 	ю 	0,00361
30 	э 	0,00331
31 	ё 	0,00267
32 	щ 	0,00037
33 	ъ 	0,00013
